Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
1365,AN,"Willingham Forest
River Rase",Lincs,32,TF132891,TF13118928,31/10/1978,,17/01/1993,25/01/2001,28/11/2009,N,N,N,N,P,TF13088930,063,N,513200,389100
1366,AN,"East Torrington
Bailings Eau Trib",Lincs,36,TF143836,TF14348361,31/10/1978,,17/01/1993,16/02/2001,05/12/2009,N,N,N,N,P,TF14268356,059,N,514300,383600
1367,AN,"Barkwith
Bailings Eau trib",Lincs,42,TF172809,TF17248100,31/10/1978,,17/01/1993,16/02/2001,05/12/2009,O,N,N,N,P,TF17248100,059,N,517200,380900
1368,AN,"Rand
Bailings Eau Trib",Lincs,15,TF101791,TF10127916,31/10/1978,,17/01/1993,19/02/2001,05/12/2009,N,N,N,N,N,,059,N,510100,379100
1369,AN,"Snelland
Bailings Eau Trib",Lincs,14,TF078808,TF07808087,31/10/1978,,17/01/1993,17/02/2001,05/12/2009,N,N,N,N,P,TF07808087,059,N,507800,380800
1370,AN,"Swinthorpe
Barlings Eau Trib",Lincs,10,TF055812,TF05578119,31/10/1978,,17/01/1993,16/02/2001,05/12/2009,O,N,N,N,P,TF05578119,059,N,505500,381200
1371,AN,"Sudbrooke
Barlings Eau Trib",Lincs,14,TF033763,TF03367634,01/11/1978,,18/01/1993,17/02/2001,07/12/2009,N,N,N,N,P,TF 03367634,059,N,503300,376300
1372,AN,"Reepham
Barlings Eau Trib",Lincs,15,TF034737,TF03507374,01/11/1978,,18/01/1993,18/02/2001,07/12/2009,N,N,N,N,N,0,059,N,503400,373700
1373,AN,"Greetwell Hall
River Witham",Lincs,5,TF013709,TF01407097,01/11/1978,,18/01/1993,18/02/2001,07/12/2009,N,N,N,N,N,0,059,N,501300,370900
1374,AN,"Greetwell Hall
North Delph",Lincs,5,TF019712,TF01407100,01/11/1978,,18/01/1993,18/02/2001,07/12/2009,N,N,N,N,P,TF01837116,059,N,501900,371200
1375,AN,"Short Ferry
River Witham",Lincs,2,TF087713,TF087771240,01/11/1978,,18/01/1993,18/02/2001,07/12/2009,N,N,N,N,P,TF08697130,059,N,508700,371300
1376,AN,"Barlings Eau
Old River Witham",Lincs,3,TF093716,TF09407163,01/11/1978,,18/01/1993,18/02/2001,06/12/2009,N,N,N,N,P,TF09907123,059,N,509300,371600
1377,AN,Old River Witham trib,Lincs,5,TF127717,TF12817176,01/11/1978,,18/01/1993,19/02/2001,06/12/2009,O,N,N,N,P,TF12817176,059,N,512700,371700
1378,AN,"Kingsthorpe
Barlings Eau Trib",Lincs,13,TF132748,TF13327488,01/11/1978,,19/01/1993,20/02/2001,06/12/2009,N,N,N,N,P,TF13327488,059,N,513200,374800
1379,AN,"Gotha 
Barlings Eau Trib",Lincs,14,TF116770,TF11627701,01/11/1978,,19/01/1993,19/02/2001,06/12/2009,O,N,N,N,P,TF11627701,059,N,511600,377000
1380,AN,"Longworth
Barlings Eau",Lincs,9,TF071759,TF07037634,02/11/1978,,19/01/1993,19/02/2001,07/12/2009,N,N,N,N,N,,059,N,507100,375900
1381,AN,"Hatton
Old River Witham Trib",Lincs,22,TF166764,TF16637647,02/11/1978,,19/01/1993,15/02/2001,06/12/2009,O,N,N,N,P,TF16637647,059,N,516600,376400
1382,AN,"Minting
Catchwater Drain",Lincs,30,TF195751,TF19537506,02/11/1978,,19/01/1993,15/02/2001,13/12/2009,N,N,N,N,N,,059,N,519500,375100
1383,AN,"Goddard Hill
Barlings Eau Trib",Lincs,33,TF178795,TF17837955,02/11/1978,,19/01/1993,15/02/2001,05/12/2009,N,N,N,N,P,TF17837955,059,N,517800,379500
1384,AN,"Hemingby
River Bain",Lincs,41,TF234743,TF23467341,02/11/1978,,20/01/1993,08/02/2001,13/12/2009,N,N,N,P,P,TF23467431,059,N,523400,374300
1385,AN,"Lower Glebe Farm
River Waring",Lincs,61,TF279736,TF27957363,02/11/1978,,20/01/1993,13/02/2001,13/12/2009,N,N,N,P,P,TF27957363,059,N,527900,373600
1386,AN,"Horncastle
Old River Bain",Lincs,28,TF261682,TF26066812,02/11/1978,,20/01/1993,08/02/2001,12/12/2009,N,N,N,P,P,TF26066812,059,N,526100,368200
1387,AN,"High Cell House
Catchwater Drain",Lincs,9,TF161702,TF16117022,03/11/1978,,20/01/1993,20/02/2001,06/12/2009,N,N,N,N,P,TF16056964,059,N,516100,370200
1388,AN,"Duckpool Bridge
Catchwater Drain",Lincs,4,TF171664,TF17106645,03/11/1978,,20/01/1993,20/02/2001,06/12/2009,N,N,N,N,N,,059,N,517100,366400
1389,AN,"Southrey
River Witham",Lincs,3,TF138662,TF13796633,03/11/1978,,20/01/1993,20/02/2001,15/12/2009,N,N,N,N,N,,059,N,513800,366200
1390,AN,"Five Mile House
South Delph",Lincs,3,TF058714,TF05857146,03/11/1978,,20/01/1993,18/02/2001,07/12/2009,N,N,N,N,N,,059,N,505800,371400
1391,AN,"Dunston
Car Dyke Trib",Lincs,18,TF058623,TF05876226,08/11/1978,,21/01/1993,21/02/2001,15/12/2009,N,N,N,N,N,,059,N,505800,362300
1392,AN,"Wasps Nest
Car Dyke and Norton Delph",Lincs,7,TF082646,TF08176462,08/11/1978,,21/01/1993,21/02/2001,15/12/2009,N,N,N,N,P,TF08566434,059,N,508200,364600
1393,AN,"Branston Booths
Branston Delph",Lincs,4,TF060692,TF06126916,08/11/1978,,21/01/1993,20/02/2001,15/12/2009,N,N,N,N,N,,059,N,506000,369200
1394,AN,"Halfpenny Hatch
River Slea",Lincs,4,TF151502,TF15165023,09/11/1978,,21/01/1993,22/02/2001,16/12/2009,N,N,N,P,P,TF15165023,059,P,515100,350200
1395,AN,"North Kyme
Dike",Lincs,5,TF146532,TF14615324,09/11/1978,,21/01/1993,22/02/2001,16/12/2009,N,N,N,P,P,TF14465323,059,P,514600,353200
1396,AN,Dorrington Dyke,Lincs,5,TF112542,TF10985427,09/11/1978,,21/01/1993,22/02/2001,16/12/2009,N,N,N,N,N,,059,N,511200,354200
1397,AN,"Bloxholm
Springwell Brook",Lincs,18,TF065539,TF06575398,09/11/1978,,22/01/1993,21/02/2001,16/12/2009,O,N,N,N,N,,059,N,506500,353900
1398,AN,"Rowston
Dorrington Dyke Trib",Lincs,12,TF083570,TF08355701,09/11/1978,,22/01/1993,21/02/2001,16/12/2009,O,N,N,N,P,TF07885714,059,N,508300,357000
1399,AN,Car Dyke and Timberland Delph,Lincs,5,TF132592,0,09/11/1978,,22/01/1993,22/02/2001,15/12/2009,N,N,N,N,O,,059,O,513200,359200
1400,AN,"Blakeney Wood
Car Dyke",Lincs,5,TF107622,TF10696225,09/11/1978,,22/01/1993,23/02/2001,15/12/2009,N,N,N,N,P,TF10826223,059,N,510700,362200
1401,AN,"Walcot
Dorrington Dike Trib",Lincs,5,TF123562,TF12365622,09/11/1978,,22/01/1993,22/02/2001,16/12/2009,N,N,N,N,P,TF12365622,059,N,512300,356200
1402,AN,"Dales Bridge
Dales Head Dike",Lincs,3,TF174601,TF17406009,10/11/1978,,22/01/1993,22/02/2001,15/12/2009,N,N,N,N,N,,059,N,517400,360100
1403,AN,"Kirkstead 
River WItham",Lincs,10,TF176621,TF17596210,10/11/1978,,22/01/1993,22/02/2001,15/12/2009,N,N,N,N,P,TF17506228,059,N,517600,362100
1404,AN,"Blakeney Hales
Dales Head Dike",Lincs,3,TF147637,TF14766374,10/11/1978,,23/01/1993,23/02/2001,15/12/2009,O,N,N,N,N,,059,N,514700,363700
1405,AN,"Horsington
Catchwater Drain Trib",Lincs,13,TF194697,TF19456980,10/11/1978,,23/01/1993,14/02/2001,15/12/2009,N,N,N,N,N,,059,N,519400,369700
1406,AN,"Benniworth Grange
Barlings Eau",Lincs,7,TF220806,TF21998060,10/11/1978,,23/01/1993,13/02/2001,08/12/2009,N,N,N,N,P,TF21998060,059,N,522000,380600
1407,AN,"Dalderby
River Bain",Lincs,20,TF246659,TF24726595,10/11/1978,,23/01/1993,08/02/2001,12/12/2009,N,N,N,P,P,TF24686586,059,N,524600,365900
1408,AN,Haltham Beck,Lincs,16,TF254638,TF25396390,10/11/1978,,23/01/1993,13/02/2001,12/12/2009,N,N,N,P,N,,059,N,525400,363800
1409,AN,"Near Tumby
Old River Bain",Lincs,12,TF239609,TF24056098,10/11/1978,,23/01/1993,13/02/2001,14/12/2009,N,N,P,P,P,TF24056098,059,N,523900,360900
1410,AN,"Mills Bridge
Newham Drain",Lincs,3,TF276554,TF27685545,11/11/1978,,23/01/1993,20/01/2001,12/12/2009,N,N,N,N,N,,064,N,527600,355400
1411,AN,"Bettinsons Bridge
West Fen Drain",Lincs,3,TF232544,TF23275438,11/11/1978,,24/01/1993,30/11/2001,12/12/2009,N,N,N,P,P,TF23275438,064,N,523200,354400
1412,AN,"Coningsby 
River Bain",Lincs,5,TF219580,TF21975805,11/11/1978,,24/01/1993,14/02/2001,14/12/2009,N,N,N,P,P,TF21975805,059,N,521900,358000
1413,AN,"Tattershall Bridge
River Witham",Lincs,3,TF196562,TF19685625,11/11/1978,,24/01/1993,23/02/2001,14/12/2009,N,N,N,P,P,TF19655634,059,N,519600,356200
1414,AN,"Bridge Farm
Kyme Eau",Lincs,4,TF197528,TF19725282,11/11/1978,,24/01/1993,23/02/2001,14/12/2009,N,N,N,N,P,TF19725282,059,N,519700,352800
1415,AN,"Pelhams Lands
River Wytham",Lincs,5,TF224524,TF22425245,11/11/1978,,24/01/1993,30/11/2001,14/12/2009,N,N,N,N,P,TF22815214,064,N,522400,352400
1416,AN,"Westville Farm
west Fen Drain",Lincs,4,TF297517,TF29725174,11/11/1978,,24/01/1993,20/01/2001,11/12/2009,N,N,N,N,N,,064,N,529700,351700
1417,AN,"Gipsey Bridge
Newham Drain",Lincs,2,TF292500,TF29195006,11/11/1978,,24/01/1993,20/01/2001,11/12/2009,N,N,N,N,P,TF29195006,064,N,529200,350000
1418,AN,"Medlam Bridge
Medlam Drain",Lincs,2,TF320569,TF32045695,12/11/1978,,25/01/1993,29/01/2001,12/12/2009,N,N,N,N,P,TF32045695,064,P,532000,356900
1419,AN,"Stickney
West Fen Catchwater Drain",Lincs,5,TF335570,TF33565702,12/11/1978,,25/01/1993,29/01/2001,12/12/2009,N,N,N,N,N,,064,N,533500,357000
1420,AN,"Fen Side
East Fen Catchwater Drain",Lincs,5,TF350585,TF35045850,12/11/1978,,25/01/1993,29/01/2001,11/12/2009,N,N,N,P,P,TF35045850,064,N,535000,358500
1421,AN,"Northlands
East Fen Catchwater Drain",Lincs,2,TF351541,TF35145412,12/11/1978,,25/01/1993,29/01/2001,11/12/2009,N,N,N,P,P,TF35145412,064,N,535100,354100
1422,AN,"Hackerley Bridge
Medlam Drain",Lincs,2,TF322529,TF32215292,12/11/1978,,25/01/1993,20/01/2001,11/12/2009,N,N,N,N,N,,064,P,532200,352900
1423,AN,"Bramley Farm
Drain",Lincs,2,TF295556,TF29575561,12/11/1978,,25/01/1993,20/01/2001,12/12/2009,N,N,N,N,N,,064,N,529500,355600
1424,AN,"Revesby
Medlam Drain",Lincs,2,TF295604,TF29566047,12/11/1978,,26/01/1993,29/01/2001,12/12/2009,N,N,N,N,P,TF29566047,064,N,529500,360400
1425,AN,"Raithby Bridge
River Lymn Trib",Lincs,30,TF365683,TF3660068311,12/11/1978,,26/01/1993,13/01/2001,09/12/2009,N,N,N,P,P,TF36786836,061,N,536500,368300
1426,AN,"Somersby
River Lymn",Lincs,38,TF338727,TF33917273,12/11/1978,,26/01/1993,15/01/2001,13/12/2009,N,N,N,N,P,TF34017247,061,N,533800,372700
1427,AN,"Toynton Fen Side
East Fen Catchwater Drain",Lincs,2,TF396617,TF39686186,13/11/1978,,26/01/1993,30/01/2001,11/12/2009,N,N,N,P,P,TF39686186,064,P,539600,361700
1428,AN,"Partney
River Lymn",Lincs,15,TF402675,TF40196757,13/11/1978,,26/01/1993,13/01/2001,09/12/2009,P,N,N,P,P,TF40196757,061,P,540200,367500
1429,AN,Rivesby Reservoir,Lincs,60,TF310632,TF31036328,13/11/1978,,26/01/1993,29/01/2001,12/12/2009,N,N,N,P,N,,059,P,531000,363200
1430,AN,Gravel Pits Near Tattershall,Lincs,6,TF198594,TF19945955,13/11/1978,,26/01/1993,14/02/2001,14/12/2009,N,N,N,N,N,,059,N,519800,359400
1431,AN,Gravel Pits South Of Tattershall,Lincs,7,TF204564,TF20765623,13/11/1978,,27/01/1993,14/02/2001,14/12/2009,N,N,N,P,N,,059,N,520400,356400
1432,AN,"Langton
River Lymm Trib",Lincs,29,TF389704,TF38947042,13/11/1978,,27/01/1993,15/01/2001,13/12/2009,N,N,N,P,P,TF38967026,061,N,538900,370400
1433,AN,"Calceby
River Great Eau",Lincs,26,TF386756,TF38707567,14/11/1978,,27/01/1993,09/02/2001,02/12/2009,N,N,N,P,P,TF38707567,061,N,538600,375600
1434,AN,"Valley Farm
River Great Eau",Lincs,30,TF383785,TF38307852,14/11/1978,,27/01/1993,05/02/2001,02/12/2009,N,N,N,N,N,,061,N,538300,378500
1435,AN,"Worlaby
Great Eau Trib",Lincs,52,TF341774,TF34067742,14/11/1978,,27/01/1993,09/02/2001,02/12/2009,N,N,N,P,P,TF34067742,061,N,534100,377400
1436,AN,"Ashby Puerorum
River Lymm Trib",Lincs,60,TF325710,TF32557106,14/11/1978,,27/01/1993,15/01/2001,13/12/2009,N,N,N,P,P,TF32787087,061,N,532500,371000
1437,AN,"Well Vale House
Boygrift Drain",Lincs,9,TF457735,TF45777354,14/11/1978,,28/01/1993,14/01/2001,02/12/2009,N,N,N,N,N,,061,N,545700,373500
1438,AN,"Butterbump
Willoughby High Drain Trib",Lincs,2,TF495726,TF49597268,14/11/1978,,28/01/1993,14/01/2001,09/12/2009,N,N,N,N,N,,061,N,549500,372600
1439,AN,Burlands Beck,Lincs,8,TF471716,TF47137160,14/11/1978,,28/01/1993,14/01/2001,09/12/2009,N,N,N,N,N,,061,N,547100,371600
1440,AN,"Halton Holegate
River Lymn",Lincs,9,TF427649,TF42756499,15/11/1978,,28/01/1993,13/01/2001,09/12/2009,N,N,N,P,P,spraints TF42526487;tracks TF42726523,061,N,542700,364900
1441,AN,"Partney
River Lymn Trib",Lincs,18,TF425680,TF42546803,15/11/1978,,28/01/1993,13/01/2001,09/12/2009,N,N,N,P,P,TF42546803,061,N,542500,368000
1442,AN,"Habertoft
Willoughby High Drain Trib",Lincs,2,TF497691,TF49816917,15/11/1978,,28/01/1993,30/01/2001,09/12/2009,N,N,N,N,N,,061,N,549700,369100
1443,AN,"Burgh le Marsh
Drain",Lincs,3,TF491635,TF49106355,15/11/1978,,29/01/1993,13/01/2001,10/12/2009,N,N,N,N,N,,061,N,549100,363500
1444,AN,"Firsby Clough
Steeping River",Lincs,2,TF462615,TF46206151,15/11/1978,,29/01/1993,13/01/2001,10/12/2009,N,N,N,P,P,TF 46206151,061,N,546200,361500
1445,AN,"Wainfleet All Saints
Steeping River",Lincs,5,TF498587,TF49785868,15/11/1978,,29/01/1993,28/01/2001,10/12/2009,N,N,N,P,P,TF50165869,061,P,549800,358700
1446,AN,"New Marsh
Drain",Lincs,6,TF492544,TF49265440,15/11/1978,,29/01/1993,28/01/2001,10/12/2009,N,N,N,N,N,,064,N,549200,354400
1447,AN,"Midville
Hobhole Drain",Lincs,3,TF383569,TF38375697,16/11/1978,,29/01/1993,28/01/2001,11/12/2009,N,N,N,N,P,TF38375697,064,N,538300,356900
1448,AN,Bell Water Drain,Lincs,2,TF421591,TF42095914,16/11/1978,,29/01/1993,28/01/2001,10/12/2009,N,N,N,N,N,,064,N,542100,359100
1449,AN,"Blue Bridge
Fodder Dyke",Lincs,2,TF438575,TF43845749,16/11/1978,,30/01/1993,28/01/2001,10/12/2009,N,N,N,N,N,,064,N,543800,357500
1450,AN,"The Horseshoe
Coast",Lincs,0,TF467509,TF46845091,16/11/1978,,30/01/1993,28/01/2001,10/12/2009,N,N,N,N,N,,064,N,546700,350900
1451,AN,"Bennington Bridge
Hobhouse Drain",Lincs,5,TF373504,TF37325049,16/11/1978,,30/01/1993,29/01/2001,11/12/2009,N,N,N,N,N,,064,N,537300,350400
1452,AN,"Black House Farm
West Fen Drain Trib",Lincs,2,TF333505,TF33355055,16/11/1978,,30/01/1993,20/01/2001,11/12/2009,N,N,N,N,P,TF33355055,064,P,533300,350500
1453,TR,"Woodborough
Dover Beck",Notts,32,SK641486,SK6426548707,22/11/1978,,06/12/1992,01/02/2001,11/11/2009,N,N,N,N,N,,040,N,464100,348600
1454,TR,"Gonalston
Dover Beck",Notts,20,SK676471,SK6755847133,22/11/1978,,06/12/1992,02/02/2001,11/11/2009,N,N,N,N,N,,040,N,467600,347100
1455,TR,"Gunthorpe
River Trent",Notts,17,SK680437,SK6807143745,22/11/1978,,06/12/1992,31/01/2001,11/11/2009,N,N,N,N,N,,040,P,468000,343700
1456,TR,"Gunthorpe
Gravel Pit",Notts,17,SK674437,SK6743243800,22/11/1978,,06/12/1992,30/01/2001,11/11/2009,N,N,N,N,N,,040,P,467400,343700
1457,TR,"Lambley
Cocker Beck",Notts,46,SK641456,SK6411845664,23/11/1978,,06/12/1992,02/02/2001,12/11/2009,N,N,N,N,N,,040,N,464100,345600
1458,TR,"Stoke Bandolph
River Trent",Notts,18,SK651414,SK6506740538,23/11/1978,,07/12/1992,31/01/2001,11/11/2009,N,N,N,N,P,SK6506540575,040,N,465100,341400
1459,TR,"Holme Pierrepont
River Trent",Notts,20,SK611391,SK6109139054,23/11/1978,,07/12/1992,19/01/2001,12/11/2009,N,N,N,N,N,,040,N,461100,339100
1460,TR,"Wifford Toll Bridge
River Trent",Notts,22,SK568381,SK5689738107,23/11/1978,,07/12/1992,16/01/2001,12/11/2009,N,N,N,N,P,SK5703238060,040,N,456800,338100
1461,TR,"Bassingfield
Grantham Canal",Notts,25,SK620372,SK6203637191,23/11/1978,,17/11/1992,19/01/2001,11/11/2009,N,N,N,N,N,,040,N,462000,337200
1462,TR,"Tollerton
Polser Brook",Notts,35,SK617344,SK6177234432,23/11/1978,,08/12/1992,30/01/2001,11/11/2009,N,N,N,N,N,,040,N,461700,334400
1463,TR,"Hazelford Ferry
River Trent",Notts,14,SK726489,SK7263548894,24/11/1978,,08/12/1992,31/01/2001,11/11/2009,N,N,N,N,P,SK7288149257,040,N,472600,348900
1464,TR,"Bleasby
Gravel Pits",Notts,15,SK717491,SK72004925,24/11/1978,,08/12/1992,31/01/2001,24/11/2009,N,N,N,N,N,,040,P,471700,349100
1465,TR,"Cotham
River Devon",Notts,14,SK787476,SK7876947737,24/11/1978,,08/12/1992,26/01/2001,30/09/2009,N,N,N,N,P,SK7876947737,040,P,478700,347600
1466,TR,"Elston
Car Dyke tributary",Notts,14,SK775483,SK7753348344,24/11/1978,,09/12/1992,26/01/2001,30/09/2009,N,N,N,N,P,SK7753348344,040,P,477500,348300
1467,TR,"Oscar Bridge
River Smite",Notts,18,SK772427,SK7727342770,24/11/1978,,09/12/1992,26/01/2001,30/09/2009,N,N,N,N,P,SK7727342770,040,P,477200,342700
1468,TR,"Blackford Bridge
Car Dyke",Notts,18,SK759448,SK75984488,24/11/1978,,09/12/1992,26/01/2001,24/11/2009,N,N,N,N,P,SK75984488,040,N,475900,344800
1469,TR,"Car Dyke Bridge
Car Dyke",Notts,20,SK732423,SK73164228,24/11/1978,,09/12/1992,30/01/2001,24/11/2009,N,N,N,N,N,,040,N,473200,342300
1470,TR,"Whatton
River Smite",Notts,23,SK728386,SK72863870,25/11/1978,,10/12/1992,30/01/2001,24/11/2009,N,N,N,N,P,SK72863870,040,N,472800,338600
1471,TR,"Whatton Manor
River Whipling",Notts,24,SK742372,SK74263725,25/11/1978,17/01/1986,10/12/1992,26/01/2001,24/11/2009,N,N,N,N,N,,040,N,474200,337200
1472,TR,"Bassett
River Smite",Notts,27,SK707350,SK70763506,25/11/1978,17/01/1986,10/12/1992,15/02/2001,24/11/2009,N,N,N,N,P,SK70793507,040,N,470700,335000
1473,TR,"Redmile
The Grimmer",Notts,29,SK772374,SK7719237436,25/11/1978,17/01/1986,11/12/1992,15/02/2001,25/09/2009,N,N,N,N,P,SK7709237313,040,P,477200,337400
1474,TR,"Redmile
The Grimmer",Leics,50,SK791340,SK7907334006,25/11/1978,17/01/1986,11/12/1992,30/01/2001,25/09/2009,O,N,N,N,N,,040,N,479100,334000
1475,TR,"Plungar
Grantham Canal",Leics,61,SK766342,SK7661934289,25/11/1978,17/01/1986,11/12/1992,19/01/2001,25/09/2009,N,N,N,N,N,,040,N,476600,334200
1476,TR,"Hose
Grantham Canal",Leics,46,SK731298,SK73142984,25/11/1978,17/01/1986,11/12/1992,19/01/2001,24/11/2009,N,N,N,N,N,,040,N,473100,329800
1477,TR,"Langar
Stroom Dyke",Notts,36,SK723320,SK72333209,25/11/1978,17/01/1986,12/12/1992,30/01/2001,24/11/2009,N,N,N,N,P,SK72333209,040,N,472300,332000
1478,TR,"Cotgrove
Grantham Canal",Notts,40,SK665362,SK66513622,26/11/1978,,12/12/1992,19/01/2001,24/11/2009,N,N,N,N,N,,040,N,466500,336200
1479,TR,"Oddhouse Farm
Grantham Canal",Notts,45,SK681328,SK68163285,26/11/1978,,12/12/1992,19/01/2001,24/11/2009,N,N,N,N,N,,040,N,468100,332800
1480,TR,"Hickling
River Smite",Leics,49,SK706286,SK70702865,26/11/1978,,12/12/1992,19/01/2001,24/11/2009,N,N,N,N,N,,040,N,470600,328600
1481,TR,"Hickling
Grantham Canal",Notts,46,SK691295,SK69092948,26/11/1978,,12/12/1992,19/01/2001,24/11/2009,N,N,N,N,N,,040,N,469100,329500
1482,AN,"Westborough
River Witham",Lincs,22,SK859448,SK85994484,26/11/1978,13/01/1986,13/12/1992,07/12/2000,02/09/2009,N,N,N,N,P,SK85994484,059,P,485900,344800
1483,TR,"Bottesford
Grantham Canal",Leics,35,SK811368,SK8110236816,26/11/1978,16/01/1986,13/12/1992,24/01/2001,25/09/2009,N,N,N,N,N,,040,N,481100,336800
1484,AN,"Casthorpe House Farm
Grantham Canal",Lincs,60,SK860348,SK86093486,27/11/1978,16/01/1986,13/12/1992,06/12/2000,02/09/2009,N,N,N,N,P,SK86093486,059,N,486000,334800
1485,AN,"Belton Park
River Witham",Lincs,43,SK927395,SK92773951,27/11/1978,13/01/1986,13/12/1992,07/12/2000,01/09/2009,N,N,N,N,P,SK92773951,059,N,492700,339500
1486,AN,"Barkston Gorse Farm
River Witham",Lincs,35,SK920428,SK92064278,27/11/1978,13/01/1986,13/12/1992,07/12/2000,02/09/2009,N,N,N,N,P,SK92064278,059,P,492000,342800
1487,AN,"Charlestown
River Slea",Lincs,38,SK991444,SK99204444,27/11/1978,14/01/1986,14/12/1992,28/11/2000,01/09/2009,N,N,N,N,N,,059,N,499100,344400
1488,AN,"Carlton Scoop
Honington Beck",Lincs,45,SK947453,SK94854536,28/11/1978,14/01/1986,14/12/1992,28/11/2000,01/09/2009,N,N,N,N,N,,059,N,494700,345300
1489,AN,"Court Leys Farm
River Brant",Lincs,16,SK913495,SK91304959,28/11/1978,14/01/1986,14/12/1992,19/01/2001,01/09/2009,N,N,N,N,N,,059,N,491300,349500
1490,AN,"Balderfield
Shire Dyke",Notts,15,SK834495,SK83394952,28/11/1978,13/01/1986,14/12/1992,07/12/2000,01/09/2009,N,N,N,N,N,,059,N,483400,349500
1491,AN,"Doddington Bridge
River Witham",Lincs,25,SK837470,SK83834704,28/11/1978,13/01/1986,15/12/1992,07/12/2000,01/09/2009,N,N,N,N,P,SK83834704,059,N,483700,347000
1492,TR,"Moor Drain
Shire Dyke",Lincs,20,SK815452,SK8155845289,28/11/1978,13/01/1986,15/12/1992,07/12/2000,25/09/2009,O,N,N,N,P,SK8146245348,040,N,481500,345200
1493,TR,"Muston
River Devon",Leics,42,SK825381,SK8256938203,28/11/1978,16/01/1986,15/12/1992,24/01/2001,25/09/2009,N,N,N,P,P,SK8256938203,040,N,482500,338100
1494,TR,"Staunton in the Vale
River Devon",Notts,20,SK802435,SK8030643584,28/11/1978,16/01/1986,15/12/1992,26/01/2001,25/09/2009,N,N,N,N,P,SK8030643584,040,P,480200,343500
1495,TR,Belvoir Lake,Leics,61,SK832334,SK8323033499,29/11/1978,16/01/1985,16/12/1992,24/01/2001,25/09/2009,N,N,N,N,P,SK8323433499,040,N,483200,333400
1496,TR,Knipton Reservoir,Leics,76,SK819308,SK8185430619,29/11/1978,16/01/1986,16/12/1992,24/01/2001,25/09/2009,N,N,N,P,P,SK8191830878,040,N,481900,330800
1497,AN,"Allington
Foston Beck",Lincs,35,SK872399,SK87243995,29/11/1978,14/01/1986,16/12/1992,19/01/2001,02/09/2009,N,N,N,N,P,SK87243995,059,N,487200,339900
1498,AN,"Grantham River 
Witham",Lincs,54,SK921349,SK92133496,29/11/1978,14/01/1986,16/12/1992,06/12/2000,02/09/2009,O,O,N,N,P,SK92133496,059,N,492100,334900
1499,AN,"Great Ponton
River Witham",Lincs,66,SK929305,SK92983050,29/11/1978,14/01/1986,17/12/1992,06/12/2000,02/09/2009,N,N,N,N,P,SK92983050,059,P,492900,330500
1500,TR,"Melton Mowbray
River Eye tributary",Leics,96,SK774223,SK7743122367,29/11/1978,,17/12/1992,31/01/2000,24/09/2009,N,N,N,N,P,SK7731522576,038,P,477400,322300
1501,TR,"Bunny
Fairham Brook",Notts,37,SK583293,SK58342929,07/12/1978,,17/12/1992,21/02/2001,26/11/2009,N,N,N,N,P,SK58342929,040,P,458300,329300
1502,TR,"Fairham Bridge
Fairham Brook",Notts,30,SK561338,SK56183383,07/12/1978,,17/12/1992,15/02/2001,26/11/2009,N,N,N,N,N,,040,P,456100,333800
1503,TR,"Clifton 
River Trent",Notts,25,SK540349,SK54043499,07/12/1978,,18/12/1992,16/01/2001,26/11/2009,N,N,N,P,P,SK54473534,040,N,454000,334900
1504,TR,"Attenborough
Gravel Pits",Notts,26,SK520343,SK52133420,07/12/1978,,18/12/1992,13/01/2001,26/11/2009,N,N,N,P,P,SK52143424,040,N,452000,334300
1505,TR,"Groby
Groby Pool",Leics,100,SK521084,SK52360807,08/12/1978,08/01/1986,18/12/1992,20/01/2000,23/11/2009,N,N,N,N,N,,038,P,452100,308400
1506,TR,"Kirby Muxloe
Rothley Brook",Leics,78,SK506047,SK50670472,08/12/1978,08/01/1986,18/12/1992,20/01/2000,23/11/2009,N,N,N,N,N,,038,N,450600,304700
1507,TR,"Aylestone
River Soar",Leics,60,SK569011,SK56920120,08/12/1978,08/01/1986,19/12/1992,20/01/2000,19/11/2009,O,N,N,N,P,SP56760107,038,N,456900,301100
1508,TR,"Barkby Grange
Syston Brook",Leics,74,SK647093,SK64700936,08/12/1978,10/01/1986,19/12/1992,20/01/2000,19/11/2009,N,N,N,N,P,SP64700936,038,N,464700,309300
1509,TR,"Hamilton
River Soar tributary",Leics,60,SK644075,SK64460747,08/12/1978,10/01/1986,19/12/1992,20/01/2000,18/11/2009,N,N,N,N,N,,038,N,464400,307500
1510,TR,"Groby
Rothley Brook",Leics,66,SK542070,SK54250705,09/12/1978,08/01/1986,19/12/1992,19/01/2000,23/11/2009,N,N,N,N,N,,038,N,454200,307000
1511,TR,"Thurcaston
Rothley Brook",Leics,55,SK564112,SK56461125,09/12/1978,,19/12/1992,18/01/2000,23/11/2009,N,N,N,N,P,SK56461125,038,N,456400,311200
1512,TR,"Rothley
River Soar",Leics,45,SK594129,SK59491301,09/12/1978,,20/12/1992,18/01/2000,20/11/2009,N,N,N,N,P,SK59401342,038,N,459400,312900
