Site No,Region,Site Name,County,Alt,Grid Ref,GPS Grid Ref Start,Date-V1,Date-V2,Date-V3,Date-V4,Date-V5,V1,V2,V3,V4,V5,GPS Grid ref otter,LEAP,Mink present,Easting,Northing
0039NV ,NO,"Ryton
River Tyne",Northumberland,39,NZ164652,NZ1654065194,,,,02/08/2000,24/09/2009,O,O,O,P,P,NZ1671665095,017,N,416400,565200
0040,WE,"Shillingstone
River Stour",Dorset,45,ST823120,ST 82388 12032,20/09/1977,25/10/1984,05/11/1991,15/01/2001,10/11/2009,N,N,N,P,P,ST 82435 12135,112,N,382300,112000
0040NV ,NO,"Blaydon
River Tyne",Northumberland,15,NZ199636,NZ1993965366,,,,02/08/2000,24/09/2009,O,O,O,P,P,NZ2021563415,017,N,419900,563600
0041,WE,"Fiddleford Mill
River Stour",Dorset,45,ST800135,ST 80008 13572,20/09/1977,25/10/1984,05/11/1991,15/01/2001,10/11/2009,N,N,P,P,P,ST 80068 13907,112,N,380000,113500
0041NV ,NO,"Newcastle
River Tyne",Northumberland,15,NZ253637,NZ2530363829,,,,29/07/2000,02/10/2009,O,O,O,N,N,,017,N,425300,563700
0042,WE,"Kings Mill Bridge
River Stour",Dorset,55,ST765171,ST 76607 17112,20/09/1977,25/10/1984,06/11/1991,15/01/2001,10/11/2009,N,N,P,P,P,ST 76523 17661,112,N,376500,117100
0042NV ,NO,"Wallsend
River Tyne",Northumberland,15,NZ302655,NZ3011765585,,,,29/07/2000,26/09/2009,O,O,O,N,O,,017,O,430200,565500
0043,WE,"Trill Bridge
River Stour",Dorset,58,ST789205,ST 79007 20625,20/09/1977,10/10/1984,06/11/1991,21/10/2000,10/11/2009,N,N,N,N,N,,112,N,378900,120500
0043NV ,NO,"South Sheilds
River Tyne",Durham,0,NZ367682,NZ3703067945,,,,29/07/2000,27/09/2009,O,O,O,N,N,,017,N,436700,568200
0044,WE,"West Orchard
Key Brook",Dorset,55,ST823173,ST 82442 17360,21/09/1977,25/10/1984,06/11/1991,15/01/2001,10/11/2009,N,N,N,P,N,,112,N,382300,117300
0044NV ,NO,"Lambton Castle
River Wear",Durham,15,NZ302527,NZ3021152745,,,,09/08/2000,27/09/2009,O,O,O,O,O,,018,O,430200,552700
0045,WE,"Five Bridges
River Cale",Dorset,55,ST757215,ST 75797 21548,21/09/1977,25/10/1984,06/11/1991,05/11/2000,10/11/2009,N,N,N,N,N,,112,N,375700,121500
0045NV ,NO,"Sunderland
River Wear",Durham,15,NZ382578,NZ3820357796,,,,09/08/2000,02/10/2009,O,O,O,N,N,,018,N,438200,557800
0046,WE,"Sutor Farm
River Cale",Dorset,55,ST727257,ST 72789 25777,21/09/1977,10/10/1984,06/11/1991,05/11/2000,07/11/2009,N,N,N,N,P,ST7308925551,112,N,372700,125700
0046NV ,NO,"Lizard Point
Coast",Durham,0,NZ410642,NZ4092564289,,,,09/08/2000,27/09/2009,O,O,O,O,O,,017,O,441000,564200
0047,WE,"Lovington
River Cary tributary",Somerset,27,ST600304,ST 60027 30280,22/09/1977,15/10/1984,21/10/1991,22/02/2001,05/11/2009,N,N,N,N,N,,106,N,360000,130400
0047NV ,NO,"Cross Fell
Black Burn",Cumbria,579,NY690365,NY6901236318,,,,16/07/2000,17/09/2009,O,O,O,P,P,NY6902236421,017,N,369000,536500
0048,WE,"Babcary
River Cary",Somerset,20,ST551282,ST 55187 28189,22/09/1977,12/10/1984,21/10/1991,20/09/2001,11/11/2009,N,N,N,N,P,ST 55446 28238,106,N,355100,128200
0048NV,TR,"Nottingham
River Trent",Notts,30,SK545464,SK5477046778,,,,08/03/2001,12/11/2009,O,O,O,N,N,,040,N,454500,346400
0049,WE,"Steart Hill Farm
River Cary tributary",Somerset,18,ST572266,ST 57223 26504,22/09/1977,12/10/1984,21/10/1991,20/09/2001,06/11/2009,N,N,N,N,P,ST 57223 26504,106,N,357200,126600
0049NV ,TR,"Nottingham
River Leen",Notts,25,SK553418,SK5513341604,,,,08/03/2001,12/11/2009,O,O,O,N,N,,040,N,455300,341800
0050,WE,"Somerton Erleigh
River Cary",Somerset,15,ST506284,ST 50656 28362,22/09/1977,16/10/1984,25/10/1991,20/09/2001,05/11/2009,N,N,P,P,N,,106,N,350600,128400
0050NV ,TR,"Nottingham
River Leen",Notts,22,SK552383,SK5530438277,,,,22/02/2001,12/11/2009,O,O,O,N,N,,040,N,455200,338300
0051,WE,"Pylle
River Whitelake",Somerset,30,ST598388,ST 59927 38833,26/09/1977,17/10/1984,21/10/1991,24/10/2000,11/11/2009,P,N,N,N,P,ST 59927 38833,107,N,359800,138800
0051AN ,TR,"Leicester
River Soar",Leics,61,SK581043,SK58110439,,,,11/05/2000,19/11/2009,O,O,O,N,N,,038,N,458100,304300
0052,WE,"Lower Woolston
River Cam",Somerset,86,ST654275,ST 65979 27510,26/09/1977,12/10/1984,23/10/1991,22/02/2001,06/11/2009,N,N,N,N,N,,106,N,365400,127500
0052AN ,TR,"Leicester
River Soar",Leics,55,SK596080,SK59170761,,,,11/05/2000,19/11/2009,O,O,O,N,P,SP59170761,038,N,459600,308000
0053,WE,"Yarlington
River Cam tributary",Somerset,70,ST646290,ST 64741 29086,26/09/1977,12/10/1984,23/10/1991,22/02/2001,06/11/2009,N,N,N,N,P,ST 64741 29086,106,N,364600,129000
0053NV,AN,"Fort Henry
North Brook",Rutland,70,SK949120,SK9490 1198,,,,05/12/2000,01/09/2009,O,O,O,P,P,SK9490 1202,060,P,494900,312000
0054,WE,"Sparkford Bridge
River Cam",Somerset,40,ST611260,ST 61116 26080,26/09/1977,09/10/1984,21/10/1991,20/02/2001,06/11/2009,N,N,N,P,P,ST 60990 25790,106,N,361100,126000
0054NV ,TR,"West Bromwich
River Tame",West Mids,107,SP027937,SP02709375,,,,18/07/2000,17/11/2009,O,O,O,N,N,,035,N,402700,293700
0055,WE,"Chilton Cantelo
Hornsey Brook",Somerset,23,ST568229,ST 56937 22921,26/09/1977,09/10/1984,25/10/1991,20/02/2001,06/11/2009,N,N,N,P,N,,106,N,356800,122900
0055NV ,TR,"Perry Bridges
River Tame",West Mids,95,SP070919,SP06049188,,,,31/07/2000,18/11/2009,O,O,O,N,N,,035,N,407000,291900
0056,WE,"Lottisham
River Brue",Somerset,30,ST571340,ST 57133 34055,27/09/1977,16/10/1984,20/10/1991,20/09/2001,11/11/2009,N,N,N,N,N,,107,N,357100,134000
0056NV ,TR,"Birmingham
RiverTame",Warwicks,80,SP116895,SP11648948,,,,11/07/2000,17/11/2009,O,O,O,N,N,,035,N,411600,289500
0057,WE,"Oakley Farm
Oakley Brook",Somerset,15,ST538205,ST 53922 20563,27/09/1977,09/10/1984,25/10/1991,20/02/2001,06/11/2009,N,N,N,P,P,ST 53922 20563,106,N,353800,120500
0057NV ,TR,"Bourn Bridge Confluence
River Rea",West Mids,115,SP062835,SP06418366,,,,11/07/2000,18/11/2009,O,O,O,N,N,,035,N,406200,283500
